TimeDate,RAW
5:33:18 AM 7/10/2021,129
5:33:18 AM 7/10/2021,-89
5:33:18 AM 7/10/2021,-379
5:33:18 AM 7/10/2021,-408
5:33:18 AM 7/10/2021,-124
5:33:18 AM 7/10/2021,276
5:33:18 AM 7/10/2021,483
5:33:18 AM 7/10/2021,396
5:33:18 AM 7/10/2021,236
5:33:18 AM 7/10/2021,141
5:33:18 AM 7/10/2021,122
5:33:18 AM 7/10/2021,-21
5:33:18 AM 7/10/2021,-324
5:33:18 AM 7/10/2021,-452
5:33:18 AM 7/10/2021,-250
5:33:18 AM 7/10/2021,145
5:33:18 AM 7/10/2021,420
5:33:18 AM 7/10/2021,-442
5:33:18 AM 7/10/2021,-518
5:33:18 AM 7/10/2021,-587
5:33:18 AM 7/10/2021,-497
5:33:18 AM 7/10/2021,12
5:33:18 AM 7/10/2021,-124
5:33:18 AM 7/10/2021,-219
5:33:18 AM 7/10/2021,-332
5:33:18 AM 7/10/2021,-460
5:33:18 AM 7/10/2021,-441
5:33:18 AM 7/10/2021,-199
5:33:18 AM 7/10/2021,102
5:33:18 AM 7/10/2021,264
5:33:18 AM 7/10/2021,232
5:33:18 AM 7/10/2021,107
5:33:18 AM 7/10/2021,-5
5:33:18 AM 7/10/2021,-116
5:33:18 AM 7/10/2021,-233
5:33:18 AM 7/10/2021,-354
5:33:18 AM 7/10/2021,-376
5:33:18 AM 7/10/2021,-172
5:33:18 AM 7/10/2021,132
5:33:18 AM 7/10/2021,324
5:33:18 AM 7/10/2021,321
5:33:18 AM 7/10/2021,212
5:33:18 AM 7/10/2021,125
5:33:18 AM 7/10/2021,52
5:33:18 AM 7/10/2021,-84
5:33:18 AM 7/10/2021,-241
5:33:18 AM 7/10/2021,-333
5:33:18 AM 7/10/2021,-228
5:33:18 AM 7/10/2021,49
5:33:18 AM 7/10/2021,327
5:33:18 AM 7/10/2021,419
5:33:18 AM 7/10/2021,306
5:33:18 AM 7/10/2021,149
5:33:18 AM 7/10/2021,33
5:33:18 AM 7/10/2021,-49
5:33:18 AM 7/10/2021,-130
5:33:18 AM 7/10/2021,-164
5:33:18 AM 7/10/2021,-83
5:33:18 AM 7/10/2021,101
5:33:18 AM 7/10/2021,328
5:33:18 AM 7/10/2021,474
5:33:18 AM 7/10/2021,456
5:33:18 AM 7/10/2021,328
5:33:18 AM 7/10/2021,166
5:33:18 AM 7/10/2021,27
5:33:18 AM 7/10/2021,-60
5:33:18 AM 7/10/2021,-171
5:33:18 AM 7/10/2021,-194
5:33:18 AM 7/10/2021,-5
5:33:18 AM 7/10/2021,268
5:33:18 AM 7/10/2021,454
5:33:18 AM 7/10/2021,428
5:33:18 AM 7/10/2021,273
5:33:18 AM 7/10/2021,125
5:33:18 AM 7/10/2021,26
5:33:18 AM 7/10/2021,-49
5:33:18 AM 7/10/2021,-243
5:33:18 AM 7/10/2021,-123
5:33:18 AM 7/10/2021,147
5:33:18 AM 7/10/2021,411
5:33:18 AM 7/10/2021,487
5:33:18 AM 7/10/2021,393
5:33:18 AM 7/10/2021,261
5:33:18 AM 7/10/2021,70
5:33:18 AM 7/10/2021,-78
5:33:18 AM 7/10/2021,-157
5:33:18 AM 7/10/2021,-229
5:33:18 AM 7/10/2021,-164
5:33:18 AM 7/10/2021,55
5:33:18 AM 7/10/2021,315
5:33:18 AM 7/10/2021,454
5:33:18 AM 7/10/2021,454
5:33:18 AM 7/10/2021,393
5:33:18 AM 7/10/2021,231
5:33:18 AM 7/10/2021,72
5:33:18 AM 7/10/2021,-46
5:33:18 AM 7/10/2021,-130
5:33:18 AM 7/10/2021,-201
5:33:18 AM 7/10/2021,-182
5:33:18 AM 7/10/2021,13
5:33:18 AM 7/10/2021,326
5:33:18 AM 7/10/2021,556
5:33:18 AM 7/10/2021,499
5:33:18 AM 7/10/2021,267
5:33:18 AM 7/10/2021,77
5:33:18 AM 7/10/2021,-36
5:33:18 AM 7/10/2021,-124
5:33:18 AM 7/10/2021,-230
5:33:18 AM 7/10/2021,-284
5:33:18 AM 7/10/2021,-146
5:33:18 AM 7/10/2021,121
5:33:18 AM 7/10/2021,345
5:33:18 AM 7/10/2021,391
5:33:18 AM 7/10/2021,288
5:33:18 AM 7/10/2021,145
5:33:18 AM 7/10/2021,21
5:33:18 AM 7/10/2021,-218
5:33:18 AM 7/10/2021,-295
5:33:18 AM 7/10/2021,-171
5:33:18 AM 7/10/2021,73
5:33:18 AM 7/10/2021,328
5:33:18 AM 7/10/2021,419
5:33:18 AM 7/10/2021,310
5:33:18 AM 7/10/2021,173
5:33:18 AM 7/10/2021,52
5:33:18 AM 7/10/2021,-39
5:33:18 AM 7/10/2021,-109
5:33:18 AM 7/10/2021,-196
5:33:18 AM 7/10/2021,-161
5:33:18 AM 7/10/2021,40
5:33:18 AM 7/10/2021,290
5:33:18 AM 7/10/2021,439
5:33:18 AM 7/10/2021,396
5:33:18 AM 7/10/2021,244
5:33:18 AM 7/10/2021,105
5:33:18 AM 7/10/2021,-11
5:33:18 AM 7/10/2021,-132
5:33:18 AM 7/10/2021,-229
5:33:18 AM 7/10/2021,-233
5:33:18 AM 7/10/2021,-58
5:33:18 AM 7/10/2021,215
5:33:18 AM 7/10/2021,406
5:33:18 AM 7/10/2021,385
5:33:18 AM 7/10/2021,266
5:33:18 AM 7/10/2021,141
5:33:18 AM 7/10/2021,-6
5:33:18 AM 7/10/2021,-124
5:33:18 AM 7/10/2021,-226
5:33:18 AM 7/10/2021,-279
5:33:18 AM 7/10/2021,-138
5:33:18 AM 7/10/2021,162
5:33:18 AM 7/10/2021,392
5:33:18 AM 7/10/2021,417
5:33:18 AM 7/10/2021,277
5:33:18 AM 7/10/2021,162
5:33:18 AM 7/10/2021,89
5:33:18 AM 7/10/2021,7
5:33:18 AM 7/10/2021,-102
5:33:18 AM 7/10/2021,-211
5:33:18 AM 7/10/2021,-186
5:33:18 AM 7/10/2021,38
5:33:18 AM 7/10/2021,325
5:33:18 AM 7/10/2021,464
5:33:18 AM 7/10/2021,409
5:33:18 AM 7/10/2021,299
5:33:18 AM 7/10/2021,193
5:33:18 AM 7/10/2021,43
5:33:18 AM 7/10/2021,-119
5:33:18 AM 7/10/2021,-215
5:33:18 AM 7/10/2021,-194
5:33:18 AM 7/10/2021,-8
5:33:18 AM 7/10/2021,248
5:33:18 AM 7/10/2021,408
5:33:18 AM 7/10/2021,386
5:33:18 AM 7/10/2021,281
5:33:18 AM 7/10/2021,152
5:33:18 AM 7/10/2021,-12
5:33:18 AM 7/10/2021,-181
5:33:18 AM 7/10/2021,-284
5:33:18 AM 7/10/2021,-89
5:33:18 AM 7/10/2021,179
5:33:18 AM 7/10/2021,333
5:33:18 AM 7/10/2021,346
5:33:18 AM 7/10/2021,273
5:33:18 AM 7/10/2021,135
5:33:18 AM 7/10/2021,-27
5:33:18 AM 7/10/2021,-150
5:33:18 AM 7/10/2021,-226
5:33:18 AM 7/10/2021,-291
5:33:18 AM 7/10/2021,-231
5:33:18 AM 7/10/2021,18
5:33:18 AM 7/10/2021,312
5:33:18 AM 7/10/2021,466
5:33:18 AM 7/10/2021,403
5:33:18 AM 7/10/2021,258
5:33:18 AM 7/10/2021,16
5:33:18 AM 7/10/2021,-115
5:33:18 AM 7/10/2021,-265
5:33:18 AM 7/10/2021,-235
5:33:18 AM 7/10/2021,5
5:33:18 AM 7/10/2021,265
5:33:18 AM 7/10/2021,413
5:33:18 AM 7/10/2021,376
5:33:18 AM 7/10/2021,232
5:33:18 AM 7/10/2021,70
5:33:18 AM 7/10/2021,-67
5:33:18 AM 7/10/2021,-140
5:33:18 AM 7/10/2021,-200
5:33:18 AM 7/10/2021,-231
5:33:18 AM 7/10/2021,-68
5:33:18 AM 7/10/2021,228
5:33:18 AM 7/10/2021,440
5:33:18 AM 7/10/2021,272
5:33:18 AM 7/10/2021,107
5:33:18 AM 7/10/2021,-17
5:33:18 AM 7/10/2021,-88
5:33:18 AM 7/10/2021,-141
5:33:18 AM 7/10/2021,-218
5:33:18 AM 7/10/2021,-150
5:33:18 AM 7/10/2021,73
5:33:18 AM 7/10/2021,311
5:33:18 AM 7/10/2021,406
5:33:18 AM 7/10/2021,311
5:33:18 AM 7/10/2021,135
5:33:18 AM 7/10/2021,-24
5:33:18 AM 7/10/2021,-119
5:33:18 AM 7/10/2021,-167
5:33:18 AM 7/10/2021,-236
5:33:18 AM 7/10/2021,-166
5:33:18 AM 7/10/2021,92
5:33:18 AM 7/10/2021,390
5:33:18 AM 7/10/2021,491
5:33:18 AM 7/10/2021,356
5:33:18 AM 7/10/2021,169
5:33:18 AM 7/10/2021,40
5:33:18 AM 7/10/2021,-27
5:33:18 AM 7/10/2021,-105
5:33:18 AM 7/10/2021,-238
5:33:18 AM 7/10/2021,-51
5:33:18 AM 7/10/2021,298
5:33:18 AM 7/10/2021,515
5:33:18 AM 7/10/2021,435
5:33:18 AM 7/10/2021,240
5:33:18 AM 7/10/2021,89
5:33:18 AM 7/10/2021,-21
5:33:18 AM 7/10/2021,-134
5:33:18 AM 7/10/2021,-260
5:33:18 AM 7/10/2021,-296
5:33:18 AM 7/10/2021,-141
5:33:18 AM 7/10/2021,149
5:33:18 AM 7/10/2021,389
5:33:18 AM 7/10/2021,464
5:33:18 AM 7/10/2021,362
5:33:18 AM 7/10/2021,166
5:33:18 AM 7/10/2021,9
5:33:18 AM 7/10/2021,-148
5:33:18 AM 7/10/2021,-234
5:33:18 AM 7/10/2021,-150
5:33:18 AM 7/10/2021,91
5:33:18 AM 7/10/2021,312
5:33:18 AM 7/10/2021,380
5:33:18 AM 7/10/2021,309
5:33:18 AM 7/10/2021,173
5:33:18 AM 7/10/2021,24
5:33:18 AM 7/10/2021,-106
5:33:18 AM 7/10/2021,-209
5:33:18 AM 7/10/2021,-276
5:33:18 AM 7/10/2021,-213
5:33:18 AM 7/10/2021,-9
5:33:18 AM 7/10/2021,242
5:33:18 AM 7/10/2021,394
5:33:18 AM 7/10/2021,360
5:33:18 AM 7/10/2021,11
5:33:18 AM 7/10/2021,-76
5:33:18 AM 7/10/2021,-150
5:33:18 AM 7/10/2021,-246
5:33:18 AM 7/10/2021,-276
5:33:18 AM 7/10/2021,-104
5:33:18 AM 7/10/2021,224
5:33:18 AM 7/10/2021,412
5:33:18 AM 7/10/2021,314
5:33:18 AM 7/10/2021,129
5:33:18 AM 7/10/2021,0
5:33:18 AM 7/10/2021,-74
5:33:18 AM 7/10/2021,-154
5:33:18 AM 7/10/2021,-280
5:33:18 AM 7/10/2021,-339
5:33:18 AM 7/10/2021,-178
5:33:18 AM 7/10/2021,92
5:33:18 AM 7/10/2021,396
5:33:18 AM 7/10/2021,306
5:33:18 AM 7/10/2021,160
5:33:18 AM 7/10/2021,-11
5:33:18 AM 7/10/2021,-149
5:33:18 AM 7/10/2021,-235
5:33:18 AM 7/10/2021,-302
5:33:18 AM 7/10/2021,-252
5:33:18 AM 7/10/2021,-26
5:33:18 AM 7/10/2021,253
5:33:18 AM 7/10/2021,385
5:33:18 AM 7/10/2021,296
5:33:18 AM 7/10/2021,169
5:33:18 AM 7/10/2021,103
5:33:18 AM 7/10/2021,10
5:33:18 AM 7/10/2021,-163
5:33:18 AM 7/10/2021,-306
5:33:18 AM 7/10/2021,-52
5:33:18 AM 7/10/2021,187
5:33:18 AM 7/10/2021,314
5:33:18 AM 7/10/2021,291
5:33:18 AM 7/10/2021,170
5:33:18 AM 7/10/2021,52
5:33:18 AM 7/10/2021,-46
5:33:18 AM 7/10/2021,-157
5:33:18 AM 7/10/2021,-269
5:33:18 AM 7/10/2021,-294
5:33:18 AM 7/10/2021,-119
5:33:18 AM 7/10/2021,156
5:33:18 AM 7/10/2021,381
5:33:18 AM 7/10/2021,418
5:33:18 AM 7/10/2021,266
5:33:18 AM 7/10/2021,96
5:33:18 AM 7/10/2021,-27
5:33:18 AM 7/10/2021,-106
5:33:18 AM 7/10/2021,-174
