EEG _mean(),EEG _std(),EEG _mad(),EEG _max(),EEG _min(),EEG _energy(),EEG _iqr(),EEG _entropy(),EEG _mean(),EEG _std(),EEG _mad(),EEG _max(),EEG _min(),EEG _energy(),EEG _iqr(),EEG _entropy(),EEG _skewness(),EEG _kurtosis(),EEG _mean(),EEG _std(),EEG _mad(),EEG _max(),EEG _min(),EEG _iqr(),EEG _entropy(),EEG _skewness(),EEG _kurtosis(),state,subject
52.43,258.6907325359762,330.6202947267492,556,-587,13933960,438.0,5.075521035317665,2165.5471234774013,3040.4548436046134,868.2214047728505,21313.663472168973,89.40829985194655,13933960.0,2428.4316543028935,4.705440394152742,[3.87146543],[18.90574346],37.533227945381945,261.26817027720773,253.70265596682242,657.6093065034893,-781.3529932111351,268.70057685088807,4.978993723740202,[0.23563205],[0.25675342],0,0
61.125,552.7570527591665,661.9818905627512,950,-982,61855325,940.0,5.118838053414137,3342.727579133758,7119.093856081585,856.8314424041166,49845.736802409054,290.7234296423322,61855324.99999999,2774.1688821238213,4.351934685912189,[5.08980018],[28.0742021],45.028559825959334,554.3005085691335,495.873373026062,1155.4124804588187,-1288.3485553218898,654.6041026834465,5.004411976017858,[-0.09053293],[-0.24383106],1,1
42.82,254.08378067086454,303.19215368439563,451,-475,13278424,468.5,5.150550743655165,1821.1331733210466,3156.247449904651,800.0063761688142,27396.27386283867,92.43988740610818,13278424.0,1641.4459377753144,4.605367642614642,[5.78996593],[41.47527757],26.778133803534555,256.27144115176003,229.59042006914922,607.4047250392443,-531.7442994522837,312.36442058915736,4.990479726245379,[0.04465197],[-0.45158065],0,2
36.405,55.646571996844514,58.56278763097128,212,-135,884373,76.25,5.015599060799068,537.0796911538272,771.9575152494532,254.07570323320107,7281.0,40.1698421382882,884373.0,502.87902932252814,4.722168604078574,[4.80902724],[32.57728753],24.93258510463767,61.64601528079492,31.974921516479693,275.77164466275354,-140.0071426749364,67.5286976033153,4.7494789591191235,[0.76360157],[1.45863391],1,3
39.09,328.835280801802,372.8744579541589,504,-643,21932134,595.0,5.168024433851241,1841.6077069012836,4305.881449120702,448.69289797099214,29784.745076098217,59.4884664860422,21932134.000000004,1464.9727752225645,4.191696303421308,[5.0585361],[27.68921778],26.53064643011927,330.0860415103917,322.37011037106566,685.1864709697646,-831.55757467538,428.3299327037512,4.965933842815462,[-0.25973714],[-0.30126909],0,4
87.425,235.29153060618225,312.0877669954292,556,-296,12601047,430.75,5.070776817010181,1308.4235516339465,3299.859816648218,534.938154279504,28682.845619750016,11.0,12601046.999999998,1125.6517114255914,4.194917396520216,[6.51625018],[47.75790732],61.77991947226866,243.2868195155669,231.6871362341643,671.7514421272202,-393.1513703397204,266.7560332026251,4.971693159504155,[0.65420858],[-0.11935998],0,0
55.95,562.1196736461018,678.2905149663129,887,-982,63821786,974.75,5.12200550129801,3101.931664950509,7362.051748390347,766.1196936680622,55891.46835564234,176.90832361709676,63821786.0,2808.826218204693,4.163486278684475,[5.21360629],[30.30198804],38.68581199871602,563.5710584744395,495.34919398480827,1178.0398974567884,-1288.3485553218898,676.1708595096362,5.018999246208547,[-0.10545337],[-0.32204866],1,1
41.12,251.88359533721126,300.22694924738437,405,-475,13027240,469.5,5.154789684967891,1518.3554141358538,3274.421603331547,448.270038280595,24034.284845339527,137.48689327676732,13027240.000000002,994.819705011359,4.37023935918541,[5.16707234],[28.90819932],26.622570311673513,253.8256069627334,233.25967335792558,546.5935418572012,-513.3595231414336,314.1321875421238,5.0133783988589755,[-0.01189638],[-0.57104989],0,2
96.825,100.89045730394922,94.14524087510573,400,-67,3910793,157.0,4.913139510724189,727.5207447469172,1838.8873173641966,224.76604449160914,19365.0,33.29639495491351,3910793.0,497.044988565378,4.194626991477827,[6.72427763],[55.87143013],68.23580438450185,122.0567081319171,42.98268138280875,526.794551983978,-79.90306627407988,119.3242693252299,4.521686255805457,[1.75640103],[2.43306393],1,3
93.695,354.4901295875528,358.7897368783557,761,-643,26888401,587.75,5.158286367018599,2293.042854875041,4650.844597028213,346.0286710396004,32948.82224850348,397.64765658288854,26888401.0,1415.8793760980984,4.359101910194887,[4.46958356],[22.69085162],67.77618497673058,360.34482617348624,314.50742475225917,1043.6896090313442,-831.55757467538,414.8949038612068,4.936059346591157,[0.10511065],[-0.01695358],0,4
69.93,237.92918085010083,314.3116703231876,556,-339,12300100,438.5,5.081368910190395,1482.423600643838,3178.446203454474,573.1241366009464,26948.613555691358,26.097605101220715,12300099.999999998,1427.0999180116337,4.361339805451115,[5.88902491],[40.7257668],48.25296674817001,243.25326554848138,234.30803144043313,671.7514421272202,-393.1513703397204,269.23090693677796,5.003698284014085,[0.56535465],[-0.24790914],0,0
61.42,554.6320704755541,666.4296972182681,944,-982,62277830,989.0,5.1185342736740225,3449.54972848887,7097.776882283801,1124.5822382177657,52289.749067726174,108.73332720783603,62277829.99999999,2795.629496165475,4.364748063064109,[4.89052134],[26.90105689],42.32034085401487,556.4154371959859,486.962329324748,1178.0398974567884,-1288.3485553218898,675.1101993378563,5.027047490382589,[-0.07423154],[-0.37818848],1,1
42.665,248.99309784610497,306.8986592306596,405,-453,12763573,468.0,5.154805978729776,1638.5794855410118,3174.6858536812983,750.8910084502314,26862.978767436052,74.2917034577103,12763573.0,1243.8161505538035,4.5201181156168175,[5.85116288],[39.95275214],27.746870093760123,251.09356065020864,233.78385239917935,546.5935418572012,-513.3595231414336,309.35921676911454,4.985210603236142,[0.00411357],[-0.45719314],0,2
104.13,107.3785039009205,90.43873532884172,400,-142,4474640,140.25,5.0385801738477864,750.9637103190876,1977.547346028355,289.1012138717006,20826.0,11.15124307362375,4474640.000000001,580.3366198956712,4.160160265047573,[6.9637012],[57.80437308],74.0411510580434,129.96579530784246,60.28058974418302,526.794551983978,-191.6259377015544,127.80955069946847,4.6176455425229985,[1.25973357],[1.37359438],1,3
50.43,368.425277498708,410.68081452605173,761,-834,27656074,595.5,5.115385908032737,2364.664199300849,4697.279768604897,369.9335520729441,32381.44821342359,167.5600194033499,27656074.0,1193.6440432649358,4.419782090333056,[4.41695774],[21.38081893],37.71707570849044,369.94295803542474,290.91936789583974,1043.6896090313442,-1061.3672785610079,388.90872965260115,4.884962233424869,[-0.07171396],[0.54466483],0,4
65.105,235.77369228775294,308.3812614491652,515,-339,11965579,442.25,5.0864357845146,1550.1690422758984,3092.3381025317112,688.7167240519453,22365.328489587406,53.05235951308885,11965579.0,1141.0422302914535,4.389159496722064,[4.77488934],[25.55817045],45.44575282685942,240.33846664651918,218.58266020282016,671.7514421272202,-406.58639918226487,267.6399166791083,4.98924438209601,[0.53187205],[-0.14503611],0,0
57.87,547.0732154839972,670.1362027645321,944,-900,60527608,1001.5,5.124731834117882,3485.361217227382,6955.563613787689,1374.976729539899,61447.31637785147,340.8676653591838,60527608.0,2377.1547621984264,4.505303433366057,[6.2392002],[46.36613021],36.91804504574965,548.885323132255,486.962329324748,1178.0398974567884,-1159.655121145938,689.0755582662906,5.027713046573976,[0.01465677],[-0.46176779],1,1
46.66,247.6761684135153,303.9334547936484,374,-453,12704128,474.25,5.154297830218897,1435.3382441766735,3262.503965484766,404.43822013436846,30451.77791321497,24.613632289363164,12704128.000000002,1197.9334760375946,4.411654584353206,[7.26868714],[60.09174491],31.6854548649692,250.0333416766652,237.4531056879557,497.8031739553295,-513.3595231414336,317.13739136216657,5.008706329853538,[-0.03117868],[-0.54300321],0,2
62.755,137.00574796336102,189.03178285946424,400,-142,4541753,250.75,5.061447285856806,738.3812542278515,1999.1363443759672,273.2899017070635,17503.8886282022,9.416567516393108,4541753.0,554.0256466978996,4.1689149228786615,[7.0023842],[52.70464175],44.85178313066271,143.86480650249388,49.27282987785395,526.794551983978,-192.33304448274095,109.24799769332162,4.631644183012461,[1.17229752],[1.15419444],1,3
40.02,374.9793855667269,417.35252450932694,761,-834,28442228,613.75,5.105037192387236,2089.7773092095736,4906.634161817325,303.8025866225649,34261.00902666209,18.0,28442228.00000001,1664.5352121405363,4.029774935307334,[4.36958481],[21.50161055],28.234773772778844,376.05044548570874,290.91936789583974,1043.6896090313442,-1061.3672785610079,394.03525381620364,4.869081632041695,[-0.12447195],[0.61456636],0,4
55.125,233.91098600749817,295.7791425918676,515,-339,11550623,417.5,5.096869617941879,1415.1201830159466,3089.9931824554105,590.2290639816554,26553.74983406255,73.72906172541822,11550623.000000006,1348.3240060786418,4.35506492664532,[6.02977036],[42.78241107],39.322208101783914,237.07989992827314,211.24415362526742,671.7514421272202,-406.58639918226487,253.67455775067396,4.976652468765147,[0.51096509],[-0.05952993],0,0
32.63,550.949864415992,715.3555704289529,944,-974,60922094,988.25,5.111002053925901,3445.8398922015867,7003.447824986786,1104.0215280436048,60780.93387548842,145.35438566357035,60922093.99999999,2068.074167311159,4.465107757020608,[6.03638388],[43.48804559],20.697015485330247,551.5270651110425,532.5659059138255,1178.0398974567884,-1165.3119753954304,695.2627426016729,5.045329255357549,[-0.0245173],[-0.52602816],1,1
